id,raw_transcription,path,lang,de
1778,Television reports show white smoke coming from the plant.,14337122471415370884.wav,en,"Fernsehberichte zeigen weißen Rauch, der aus dem Werk aufsteigt."
2006,"Elements like calcium and potassium are considered metals. Of course, there are also metals like silver and gold.",14384731673566706407.wav,en,Elemente wie Calcium und Kalium gelten als Metalle. Natürlich gibt es auch Metalle wie Silber und Gold.
1805,"Scotturb Bus 403 travels regularly to Sintra, stopping at Cabo da Roca.",14396239747345303015.wav,en,Scotturb Bus 403 fährt regelmäßig nach Sintra und hält am Cabo da Roca.
1890,Most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions.,14472713183013529731.wav,en,Die meisten modernen Forschungsteleskope sind riesige Anlagen in entlegenen Gebieten mit günstigen atmosphärischen Bedingungen.
1782,Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.,1447510838326873839.wav,en,"Auch zwischen jeder Dynastie lag ein instabiles Zeitalter geteilter Provinzen. Am bekanntesten ist diese Zeit der Drei Reiche, die 60 Jahre zwischen der Han- und der Jin-Dynastie dauerte."
1784,"Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.",14572481585322233862.wav,en,"Grönland war dünn besiedelt. In den nordischen Sagas heißt es, dass Erik der Rote wegen Mordes von Island verbannt wurde und als er weiter gen Westen reiste, Grönland fand und es Grönland nannte."
1949,The term bug is used by entomologists in a formal sense for this group of insects.,14585898865749103727.wav,en,"Der Begriff ""Fehler"" wird von Entomologen im formellen Sinne für diese Gruppe von Insekten verwendet."
1683,"There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.",14624695685248966546.wav,en,"Es gibt immer noch viele Männer und Frauen, die ihre Zeit hier überlebt haben, und noch viele mehr, die geliebte Menschen hatten, die dort ermordet oder zu Tode gearbeitet wurden, Juden und Nichtjuden gleichermaßen."
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,14643126700888487830.wav,en,"Die Stadt ist auch der Ausgangspunkt, um den Nyiragongo-Vulkan zu besteigen, zusammen mit einigen der günstigsten Berggorilla-Tracking-Möglichkeiten in Afrika."
1791,Do not deface the site by marking or scratching graffiti into structures.,14648010410081654131.wav,en,"Bitte verschandeln Sie die Website nicht, indem Sie Graffiti in Strukturen markieren oder kratzen."
1693,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",14681158725429032808.wav,en,"Aber nach dem Verlust des Kapitäns-Wickets machte Indien nur 36 Läufe und verlor 7 Wickets, um das Innings zu beenden."
1885,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",14693330690944350091.wav,en,Zwischen 22:00 und 23:00 Uhr MDT wurde von den Häftlingen im Hof ein Feuer entfacht.
1772,"So, it is likely that the notation was added simply as a label.",14704091860070528032.wav,en,"Also ist es wahrscheinlich, dass die Notiz einfach als Etikett hinzugefügt wurde."
1998,"They have feet with scales and claws, they lay eggs, and they walk on their two back legs like a T-Rex.",14738234113419638776.wav,en,"Sie haben Füße mit Schuppen und Krallen, legen Eier und gehen auf ihren beiden Hinterbeinen wie ein T-Rex."
1857,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",14805661830607478688.wav,en,"Er fügte hinzu, dass ""sie jedoch nicht dazu aufgefordert werden sollten, Verpflichtungen zu übernehmen, die über ihren Entwicklungsstand, ihre Verantwortung und ihre Fähigkeiten hinausgehen."""
1761,The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.,14836289886440749215.wav,en,"Die Fotografen übernahmen später den Platz einer älteren Dame, da sie auf die Toilette musste. Mendoza wurde erschossen."
1702,In just two weeks the Americans and Free French forces had liberated southern France and were turning towards Germany.,1483818313790875806.wav,en,In nur zwei Wochen hatten die Amerikaner und die freien französischen Streitkräfte Südfrankreich befreit und wandten sich nach Deutschland.
1746,Plants make their food from the sun by photosynthesis. They also provide shade.,14855926442890309286.wav,en,Pflanzen stellen ihre Nahrung durch Photosynthese aus Sonnenlicht her. Sie spenden auch Schatten.
1907,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.",14868402834603110105.wav,en,Kurz nach Ausbruch der Feindseligkeiten initiierte Großbritannien eine Seeblockade gegen Deutschland.
1769,"Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.",14944400645209157789.wav,en,"Errichtet von den Ägyptern im 3. Jahrhundert v. Chr., ist die Große Pyramide eine von vielen großen Pyramidenstrukturen, die errichtet wurden, um den verstorbenen Pharao zu ehren."
1788,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,14960809846091330730.wav,en,"USA Gymnastics unterstützt das Schreiben des United States Olympic Committee und akzeptiert die absolute Notwendigkeit der olympischen Familie, eine sichere Umgebung für all unsere Athleten zu fördern."
1801,The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,1497068838470674354.wav,en,"Der Zug von Gebäuden, die die Skyline von Hongkong bilden, wurde mit einem glitzernden Balkendiagramm verglichen, das durch die Anwesenheit der Gewässer des Victoria Harbour offensichtlich wird."
1861,"As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.",14982964006464846866.wav,en,"Als Ergebnis rauchen die Darsteller Cannabis-Joints auf der Bühne, und das Theater ermutigt das Publikum, mitzumachen."
1996,Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,14993919225529607964.wav,en,Australiens Mitchell Gourley belegte den elften Platz im Männer-Steh-Super-G. Der tschechische Konkurrent Oldřich Jelínek belegte den sechzehnten Platz im Männer-Sitz-Super-G.
1697,He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.,15004506730396162914.wav,en,"Er war nicht in der Lage, die benötigten Medikamente einzunehmen, um seinen Schmerz zu überwinden, da sie von den Spielen verboten sind."
1962,The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical.,15038927295183526116.wav,en,Der pH-Wert wird durch die Menge der Wasserstoffionen (das H in pH) im getesteten chemischen Stoff angezeigt.
1847,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,15094027080386890060.wav,en,"Er wurde vom stellvertretenden Premierminister Singapurs Wong Kan Seng begrüßt und diskutierte Handels- und Terrorismusfragen mit dem Premierminister von Singapur, Lee Hsien Loong."
1932,"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.",15167791612734877902.wav,en,"Fünf Minuten nach Beginn der Vorführung beginnt ein Wind aufzukommen, etwa eine Minute später erreicht der Wind 70 km/h... dann kommt der Regen, so stark und so groß, dass er wie Nadelstiche auf deine Haut prasselt, dann fiel Hagel vom Himmel, die Leute gerieten in Panik, schrien und liefen übereinander."
1850,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",15199695878621076767.wav,en,"Dies wird es ermöglichen, rückwärtskompatibel mit 802.11a, 802.11b und 802.11g zu sein, vorausgesetzt, dass die Basisstation zwei Radios hat."
1700,It is thinner under the maria and thicker under the highlands.,15228527404193944906.wav,en,Es ist dünner unter den Maria und dicker unter den Hochländern.
1727,Feral children may have experienced severe child abuse or trauma before being abandoned or running away.,15257026998252037010.wav,en,"Wilde Kinder haben möglicherweise schwere Kindesmisshandlung oder Traumata erlebt, bevor sie verlassen oder weggelaufen sind."
1984,"Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies.",15278922555301201869.wav,en,"Der Massenbesitz von Autos führt auch zu einer höheren Unfallhäufigkeit auf den Straßen, was zur Entwicklung neuer Techniken im Gesundheitswesen zur Reparatur beschädigter Körper führt."
1853,Giancarlo Fisichella lost control of his car and ended the race very soon after the start.,1531123292382678510.wav,en,Giancarlo Fisichella verlor die Kontrolle über sein Auto und beendete das Rennen sehr früh nach dem Start.
1694,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",15359249341091182172.wav,en,"Kinder werden aus einer Vielzahl von Gründen in Pflegefamilien untergebracht, die von Vernachlässigung über Missbrauch bis hin zu Erpressung reichen."
1878,The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,15462197415062072209.wav,en,"Die zentrale Autorität der Kirche war seit über tausend Jahren in Rom, und diese Konzentration von Macht und Geld führte dazu, dass viele sich fragten, ob dieser Grundsatz erfüllt wurde."
1692,"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.",15494714124475485422.wav,en,Laut Japans Atomaufsichtsbehörde wurde radioaktives Cäsium und Iod in dem Kraftwerk identifiziert.
1797,Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.,15505806025419963341.wav,en,Jeder nimmt an der Gesellschaft teil und nutzt Verkehrssysteme. Fast jeder beklagt sich über Verkehrssysteme.
1912,"Most of the smaller islands are independent nations, or associated with France, and known as luxury beach resorts.",15510957858467012907.wav,en,Die meisten der kleineren Inseln sind unabhängige Nationen oder mit Frankreich verbunden und als Luxus-Strandresorts bekannt.
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,15533201887617185536.wav,en,"Diese Theorien untersuchen, was es an bestimmten Personen ist, das sie dazu bringt, die Dinge zu wollen, die sie wollen, und welche Dinge in ihrer Umgebung sie dazu bringen werden, bestimmte Dinge zu tun oder nicht zu tun."
1913,"The tiger's roar is not like the full-voiced roar of a lion, but more like a sentence of snarly, shouted words.",1553627708563736436.wav,en,"Das Brüllen des Tigers ähnelt nicht dem vollen Brüllen eines Löwen, sondern eher einem Satz knurrender, lauter Worte."
1787,"Blogging is a tool that inspires collaboration, and encourages students to extend learning well beyond the traditional school day.",1559267283424963143.wav,en,"Das Bloggen ist ein Werkzeug, das zur Zusammenarbeit anregt und Schüler dazu ermutigt, das Lernen weit über den traditionellen Schultag hinaus auszudehnen."
1977,"Prides are made up of one to three related adult males, along with as many as thirty females and cubs.",15592925372393530543.wav,en,Stolzen bestehen aus ein bis drei verwandten erwachsenen Männchen sowie bis zu dreißig Weibchen und Jungtieren.
1667,"Generally speaking, two behaviors can emerge as managers begin to lead their former peers. One end of the spectrum is trying to remain “one of the guys” (or gals).",156130586016414879.wav,en,"Im Allgemeinen können sich zwei Verhaltensweisen entwickeln, wenn Manager anfangen, ihre ehemaligen Kollegen zu führen. Am einen Ende des Spektrums steht der Versuch, ""einer von ihnen"" zu bleiben."
1669,Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.,15618717836108767541.wav,en,"Polizei-Superintendent Chandra Shekhar Solanki sagte, dass die Angeklagten mit bedeckten Gesichtern vor Gericht erschienen."
1838,The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.,15622589675144910207.wav,en,"Die Große Pyramide von Gizeh ist das einzige der sieben Weltwunder, das heute noch steht."
1832,"Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.",15648812079343683412.wav,en,"Beliebte Sportarten sind Fußball, Basketball, Volleyball, Wasserball, Fechten, Rugby, Radsport, Eishockey, Rollhockey und Formel-1-Motorsport."
1991,"During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.",15667010054869079797.wav,en,Während dieser Zeit der europäischen Geschichte geriet die reiche und mächtige katholische Kirche in die Kritik.
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",15695900311829620190.wav,en,"Während der Nacht wurden zwischen 150 und 200 Kopien angefertigt, die heute als ""Dunlap-Breitseiten"" bekannt sind."
1809,"Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top.",15738179776336088720.wav,en,"Schwellen wurden ziemlich früh eingeführt, um die Schienen an Ort und Stelle zu halten. Allmählich wurde jedoch erkannt, dass Schienen effizienter wären, wenn sie einen Eisenstreifen oben hätten."
1693,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",15739600005438498912.wav,en,"Aber nachdem der Kapitän ausgeschieden war, erzielte Indien nur 36 Runs und verlor 7 Wickets am Ende des Innings."
1878,The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,15790784892019701649.wav,en,"Die zentrale Autorität der Kirche war seit über tausend Jahren in Rom, und diese Konzentration von Macht und Geld veranlasste viele, zu hinterfragen, ob dieser Grundsatz eingehalten wurde."
1730,"Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30.",15820671163473629623.wav,en,"Busse verlassen den über den Fluss gelegenen überdachten Busbahnhof tagsüber, wobei die meisten, insbesondere diejenigen, die in den Osten und nach Jakar/Bumthang fahren, zwischen 06:30 und 07:30 abreisen."
1696,"The two compounds react with one another to form crystals that may block kidney function, researchers at the university said.",15824575839049156888.wav,en,"Die beiden Verbindungen reagieren miteinander, um Kristalle zu bilden, die die Nierenfunktion blockieren können, sagten Forscher der Universität."
1695,"A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.",15842229443202938478.wav,en,"Ein einfaches beliebtes Abendessen, insbesondere im Sommer, ist das Pa amb Oli: Brot mit Olivenöl, Tomate und diversen Zutaten wie Käse, Thunfisch usw."
1739,"Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.",15935462347202880059.wav,en,Auf der Spitze eines der Berge nördlich von Mekka liegt die Höhle völlig isoliert von der restlichen Welt.
1758,The archipelago lies 120 km north of the Peninsula. The largest is King George Island with the settlement of Villa Las Estrellas.,15945599843667387523.wav,en,Der Archipel liegt 120 km nördlich der Halbinsel. Der größte ist die King George Island mit dem Ort Villa Las Estrellas.
1699,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",1596269393232229615.wav,en,"Bishkek wurde von einem Beobachter als in einen Zustand der ""Anarchie"" versinkend beschrieben, während Banden von Menschen durch die Straßen zogen und Geschäfte mit Konsumgütern plünderten."
1842,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",15966297335082605286.wav,en,"Weil die Dinosaurierfedern keinen gut entwickelten Schaft namens Rachis haben, aber andere Merkmale von Federn aufweisen - Äste und Ästchen - folgerten die Forscher, dass der Rachis wahrscheinlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale."
1836,"People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.",16010170383637871536.wav,en,"Die Menschen haben seit der Antike grundlegende chemische Elemente wie Gold, Silber und Kupfer gekannt, da diese alle in der Natur in reiner Form vorkommen und relativ einfach mit primitiven Werkzeugen abgebaut werden können."
1975,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,1605300975319497622.wav,en,Die Bevölkerung der Vatikanstadt beträgt ungefähr 800. Sie ist das kleinste unabhängige Land der Welt und das Land mit der geringsten Bevölkerungszahl.
1738,It also attacked anything that entered the water; even a giant dinosaur such as T. rex would be no match for it.,1616366247253366320.wav,en,"Es griff auch alles an, was ins Wasser kam; selbst ein Riese wie der T. Rex hätte keine Chance dagegen."
1935,"However, that is not true. Although there is something written on the back of the document, it is not a treasure map.",1618638950277648344.wav,en,"Allerdings ist das nicht wahr. Obwohl auf der Rückseite des Dokuments etwas geschrieben steht, handelt es sich nicht um eine Schatzkarte."
1889,"It has brought us the train, the car, and many other transportation devices.",16188741492070958424.wav,en,"Es hat uns den Zug, das Auto und viele andere Transportmittel gebracht."
1865,Saint Petersburg cruises include time in town. Cruise passengers are exempted from visa requirements (check the terms).,16200495359369533302.wav,en,Kreuzfahrten nach Sankt Petersburg beinhalten Zeit in der Stadt. Kreuzfahrtpassagiere sind von Visumbestimmungen befreit (bitte die Bedingungen prüfen).
1848,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",16207777688923954070.wav,en,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.
Ein Autobombenanschlag auf das Polizeihauptquartier in Gaziantep, Türkei, gestern Morgen tötete zwei Polizisten und verletzte mehr als zwanzig andere Menschen."
1838,The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.,16234809612157196531.wav,en,"Die Große Pyramide von Gizeh ist das einzige der sieben Weltwunder, das heute noch steht."
1718,There is no universal definition for which manufactured items are antiques. Some tax agencies define goods older than 100 years as antiques.,16249020005264010985.wav,en,"Es gibt keine universelle Definition, welche hergestellten Gegenstände Antiquitäten sind. Einige Steuerbehörden definieren Waren, die älter als 100 Jahre sind, als Antiquitäten."
1828,A search of the Internet for 'Hostile environment course' will probably provide the address of a local company.,16311865697463361030.wav,en,Eine Suche im Internet nach 'Feindlicher-Umgebung-Kurs' wird wahrscheinlich die Adresse eines örtlichen Unternehmens liefern.
1740,The pyramid sound and light show is one of the most interesting things in the area for kids.,16327101627424867030.wav,en,Die Ton- und Lichtshow der Pyramiden ist eine der interessantesten Attraktionen für Kinder in der Gegend.
1701,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",163369145011818208.wav,en,Ziegen scheinen vor etwa 10.000 Jahren erstmals in den Zagros-Bergen im Iran domestiziert worden zu sein.
1721,"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.",1633905380187706594.wav,en,"Nachdem der Damm im Jahr 1963 gebaut wurde, wurden die saisonalen Überschwemmungen, die Sedimente im Fluss verteilten, gestoppt."
1699,"Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.",16355757648693617724.wav,en,"Bischkek wurde von einem Beobachter als in einen Zustand „der Anarchie“ versinkend beschrieben, während Gruppen von Leuten die Straßen durchstreiften und Läden mit Konsumgütern plünderten."
1854,The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.,16367441259442214277.wav,en,Das Fahrzeug selbst wurde noch am selben Tag gegen 12:00 Uhr GMT von der Unfallstelle weggebracht.
1896,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",16437430878550556483.wav,en,"USA Gymnastics und das USOC haben das gleiche Ziel - den Sport der Gymnastik und anderer so sicher wie möglich zu gestalten, damit Athleten ihren Träumen in einer sicheren, positiven und ermächtigenden Umgebung folgen können."
1746,Plants make their food from the sun by photosynthesis. They also provide shade.,16482413846901462656.wav,en,Pflanzen stellen ihre Nahrung durch Photosynthese aus der Sonne her. Sie spenden auch Schatten.
1796,"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.",16528325964292062857.wav,en,"Dieses Sediment war notwendig für die Schaffung von Sandbänken und Stränden, die als Lebensräume für die Tierwelt dienten."
1843,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""",16545276994853978309.wav,en,"Professor Pamela Ferguson von der Universität Dundee bemerkt: ""Journalisten scheinen eine gefährliche Grenze zu überschreiten, wenn sie Fotos usw. von Verdächtigen veröffentlichen."""
1683,"There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.",16561255522246307224.wav,en,"Es gibt noch viele Männer und Frauen, die ihre Zeit hier überlebt haben, und viele weitere, die Angehörige hatten, die dort ermordet oder zu Tode gearbeitet wurden, Juden und Nichtjuden gleichermaßen."
1764,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,16631812927540811343.wav,en,"Die Anzahl der anwesenden Personen war so groß, dass es nicht möglich war, dass alle Zutritt zur Beerdigung auf dem Petersplatz erlangten."
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.",16685618834972658685.wav,en,Allerdings konnten aufgrund der langsamen Kommunikationskanäle die Stile im Westen um 25 bis 30 Jahre hinterherhinken.
1698,Everything in the Universe is made of matter. All matter is made of tiny particles called atoms.,16702780028313283623.wav,en,"Alles im Universum besteht aus Materie. Alle Materie besteht aus winzigen Teilchen, die Atome genannt werden."
1851,"Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.",16721823661104667622.wav,en,"Rip-Strömungen sind der rücklaufende Strom von Wellen, die oft an einem Riff oder Ähnlichem brechen."
1700,It is thinner under the maria and thicker under the highlands.,16725549094651424150.wav,en,Es ist dünner unter den Maria und dicker unter den Hochländern.
1907,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.",16757205419144758552.wav,en,Kurz nach Beginn der Feindseligkeiten hat Großbritannien eine Seeblockade gegen Deutschland eingeleitet.
1813,"Barcelona's official languages are Catalan and Spanish. About a half prefer to speak Catalan, a vast majority understands it, and virtually everyone knows Spanish.",16766787285057438836.wav,en,"Die offiziellen Sprachen Barcelonas sind Katalanisch und Spanisch. Etwa die Hälfte bevorzugt es, Katalanisch zu sprechen, die große Mehrheit versteht es und praktisch jeder kennt Spanisch."
1996,Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,16824485789160047135.wav,en,Australiens Mitchell Gourley beendete den Super-G im Stehen der Männer auf dem elften Platz. Der tschechische Konkurrent Oldrich Jelinek beendete den Super-G im Sitzen der Männer auf dem sechzehnten Platz.
1915,You can use boda-boda (motorcycle taxi) to get around Goma. The normal (local) price is ~500 Congolese Francs for the short ride.,16847628585853049714.wav,en,"Sie können Boda-Boda (Motorradtaxi) benutzen, um in Goma herumzukommen. Der normale (lokale) Preis beträgt etwa 500 kongolesische Francs für die kurze Fahrt."
1721,"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.",16851035292487940942.wav,en,"Nachdem der Damm im Jahr 1963 gebaut wurde, wurden die saisonalen Überschwemmungen gestoppt, die Sedimente im Fluss verteilten."
1910,"Parisians have a reputation for being egocentric, rude and arrogant.",16890607023935231060.wav,en,"Pariser haben den Ruf, egozentrisch, unhöflich und arrogant zu sein."
1954,"Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.",16989675193715509568.wav,en,"Ihre disziplinierte Verteidigung, Ballkontrollfähigkeiten und hervorragende Teamarbeit machten sie herausragend, und es war klar, dass dies das Team war, das es zu schlagen galt."
1993,"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.",1701461929359257439.wav,en,"Der zehnte benannte Sturm der atlantischen Hurrikan-Saison, der subtropische Sturm Jerry, hat sich heute im Atlantik gebildet."
1981,If you only go ashore using shipboard excursions you will not need a separate visa (as of 2009).,17029455052229515619.wav,en,"Wenn Sie nur an Land gehen, um Ausflüge vom Schiff aus zu machen, wird kein separates Visum benötigt (ab 2009)."
1967,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.",17087438879836851456.wav,en,"Layton hatte während des Treffens mit dem Premierminister um Änderungen am Umweltgesetz der Konservativen gebeten und um eine ""gründliche und vollständige Neufassung"" des Umweltgesetzes der Konservativen gebeten."
1837,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,17107523751051309601.wav,en,Die liberale Kritik am Wiederaufbauprojekt konzentriert sich auf die Vergabe von Wiederaufbauverträgen an vermeintliche Washingtoner Insider.
2009,"The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.",17120997777600226051.wav,en,"Die am leichtesten zugänglichen Pflanzenressourcen wären die Proteine in Blättern und Hülsenfrüchten gewesen, aber diese sind für Primaten wie uns schwer verdaulich, es sei denn, sie sind gekocht."
1964,The 25 Dunlap broadsides still known to exist are the oldest surviving copies of the document. The original handwritten copy has not survived.,17158526797037461547.wav,en,Die 25 noch bekannten Dunlap-Broschüren sind die ältesten erhaltenen Kopien des Dokuments. Das originale handgeschriebene Exemplar ist nicht erhalten geblieben.
1933,"Finally, there are many small cats (including loose pet cats) that eat the far more numerous small prey like insects, rodents, lizards, and birds.",17202654907652316758.wav,en,"Schließlich gibt es viele kleine Katzen (einschließlich streunender Haustiere), die die weitaus zahlreichere kleine Beute wie Insekten, Nagetiere, Eidechsen und Vögel fressen."
1877,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",1722118868151836971.wav,en,"Die derzeitige Senatorin und argentinische First Lady Cristina Fernández de Kirchner kündigte gestern Abend in La Plata, einer Stadt 50 Kilometer von Buenos Aires entfernt, ihre Präsidentschaftskandidatur an."
1944,These are sometimes-crowded family beaches with a good range of shops lining the shore. Swimming is safe.,1724953769276277810.wav,en,Dies sind manchmal überfüllte Familienstrände mit einer guten Auswahl an Geschäften entlang der Küste. Das Schwimmen ist sicher.
1731,In the archipelagos and lakes you do not necessarily need a yacht.,17257800930548614745.wav,en,In den Archipelen und Seen braucht man nicht unbedingt eine Yacht.
1835,"No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.",1727490782035998315.wav,en,"Es wurde keine Tsunami-Warnung herausgegeben, und laut der Jakarta-Geophysikagentur wird auch keine Tsunami-Warnung herausgegeben, da das Beben nicht die Anforderungen an die Magnitude 6,5 erfüllt hat."
1817,"The Schengen zone, however, works somewhat like one country in this respect.",17289442889985927678.wav,en,Die Schengen-Zone funktioniert jedoch in dieser Hinsicht in gewisser Weise wie ein Land.
1773,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,1729210846741769405.wav,en,Schlafunterbrechung ist der Vorgang des gezielten Erwachens während Ihres normalen Schlafzeitraums und des anschließenden kurzen Wiedereinschlafens (10–60 Minuten).
1677,"Today, the only insects that cannot fold back their wings are dragon flies and mayflies.",1731561740051730459.wav,en,Heute können nur Libellen und Eintagsfliegen ihre Flügel nicht zurückklappen.
1926,"Accepted were Aristotle's views on all matters of science, including psychology.",17382227205265930996.wav,en,"Akzeptiert wurden Aristoteles' Ansichten zu allen wissenschaftlichen Fragen, einschließlich der Psychologie."
1978,"For the Springboks, it ended a five-match losing streak.",17390731724222522492.wav,en,Für die Springboks bedeutete es das Ende einer fünf Spiele andauernden Niederlagenserie.
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",17392214165625498386.wav,en,"Das Krankenhaus hat das Protokoll zur Infektionskontrolle befolgt, darunter auch die Trennung des Patienten von anderen, um eine mögliche Infektion anderer zu verhindern."
1854,The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.,17406400587485166719.wav,en,Das Fahrzeug selbst wurde am gleichen Tag gegen 12:00 Uhr Greenwich Mean Time vom Unfallort weggebracht.
1873,"Be firm in turning down men, and don't be afraid to stand your ground (cultural differences or not, it doesn't make it ok!).",17476880836582943567.wav,en,"Sei entschlossen, Männer abzuweisen, und zögere nicht, dich durchzusetzen (kulturelle Unterschiede hin oder her, es macht es nicht in Ordnung!)."
1775,"The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds.",17477520783262554049.wav,en,"Die Verwendung von Videoaufnahmen hat zu wichtigen Entdeckungen bei der Interpretation von Mikroausdrücken geführt, Gesichtsbewegungen, die nur wenige Millisekunden dauern."
